Quantidade
Fundamentos de Sistemas Computacionais
Matemática para Computação
Raciocínio Lógico e Algorítmico
Programação Orientada a Objetos
Gestão de Projetos
Desafios do Ciberespaço
Fundamento de Internet das Coisas
Inovação em Soluções Computacionais
Estrutura de Dados
Estatísticas e Processamento de Dados
Modelagem Matemática
Ambiente de Dados
Ideação para Soluções Computacionais
Gerenciamento de Serviços para Ciberespaço
Interação Humano Computador
Requisitos e Modelagem de Sistemas
Negociação Estratégica
Visualização de Dados para Tomada de Decisões
Marketing Digital
Inteligência de Negócios
Gestão Estratégica de Pessoas
Administração e Organizações
Cenários Econômicos e Empresariais
Tecnologia em Analítica de Negócios
"Inovação, Empreendedorismo e Ética"
Matemática Financeira
Gestão de Operações
Programação para Analítica de Negócios
Estrutura de Dados em Analítica
Dados e Tomada de Decisão
Custos e Formação de Preços
Supply Chain e Liderança Logística
Liderança e Gestão
Estratégia Empresarial
Omnichannel e Trade Marketing
Gestão de Vendas
Mercado e Consumidor
Tendências no Varejo
Gestão de Mídias Digitais
Design e Processos Gráficos
Matemática para Empreendedores
Branding
Marketing de Conteúdo
Marketing Contemporâneo
Estrutura e Análise de Demonstrações Contábeis
Direito Empresarial
Contabilidade e Negócios
Mercado de Capitais no Contexto Global
Controladoria e Orçamento
Contabilidade Geral Aplicada
Contabilidade Intermediária
Gestão de Estoques e Fornecedores
Legislação e Compliance em Logística
Gestão de Custos Logísticos
Logística Global e Comércio Exterior
Infraestrutura e Modais de Transporte
Processos e Estruturas da Gestão de Pessoas
"Pessoas, Times e Organizações"
Bem-Estar e Segurança no Trabalho
Consultoria em Gestão de Pessoas
Dinâmicas de Grupo e Trabalho em Equipe
Gestão de Carreira e Desenvolvimento
Métricas de Hibridização do Trabalho
