Código,Disciplina,Semestre,Trimestre,Curso,Matriz
N693,Segurança em Projeto de Software,3,A,Análise e desenvolvimento de sistemas,Antiga
N691,Projeto e Arquitetura de Sistemas,3,A,Análise e desenvolvimento de sistemas,Antiga
N692,Estrutura de Dados,3,A,Análise e desenvolvimento de sistemas,Antiga
N696,Inovação em Soluções Computacionais,3,B,Análise e desenvolvimento de sistemas,Antiga
N694,Técnicas de Programação Linux,3,B,Análise e desenvolvimento de sistemas,Antiga
N695,Desenvolvimento para Plataforma Web,3,B,Análise e desenvolvimento de sistemas,Antiga
N699,Projeto Aplicado de Desenvolvimento de Software - Etapa 1,4,A,Análise e desenvolvimento de sistemas,Antiga
N697,Desenvolvimento de Software em Nuvem,4,A,Análise e desenvolvimento de sistemas,Antiga
N698,Teste e Validação de Sistemas,4,A,Análise e desenvolvimento de sistemas,Antiga
N699,Projeto Aplicado de Desenvolvimento de Software - Etapa 2,4,B,Análise e desenvolvimento de sistemas,Antiga
N700,Desenvolvimento para Plataformas Móveis,4,B,Análise e desenvolvimento de sistemas,Antiga
N701,Gerenciamento de Serviços para Ciberespaço,4,B,Análise e desenvolvimento de sistemas,Antiga
G703,Técnicas de Integração de Sistemas,5,A,Análise e desenvolvimento de sistemas,Antiga
N705,Projeto Aplicado Multiplataforma - Etapa 1,5,A,Análise e desenvolvimento de sistemas,Antiga
N704,Programação Funcional,5,A,Análise e desenvolvimento de sistemas,Antiga
N708,Projeto Aplicado Multiplataforma - Etapa 2,5,B,Análise e desenvolvimento de sistemas,Antiga
N706,Gerenciamento da Implantação de Sistemas,5,B,Análise e desenvolvimento de sistemas,Antiga
N707,Segurança no Ciberespaço,5,B,Análise e desenvolvimento de sistemas,Antiga
G400,Economia da Inovação,1,A,Ciências Contábeis,Antiga
G401,Negociação Estratégica,1,A,Ciências Contábeis,Antiga
G405,Inteligência de Negócios,1,A,Ciências Contábeis,Antiga
G403,Dinâmicas do Empreendedorismo,1,B,Ciências Contábeis,Antiga
G404,Direito Empresarial,1,B,Ciências Contábeis,Antiga
G427,Marketing Digital,1,B,Ciências Contábeis,Antiga
G406,Inovação e Negócios Criativos,2,A,Ciências Contábeis,Antiga
G407,Matemática para Empreendedores,2,A,Ciências Contábeis,Antiga
G408,Administração e Organizações,2,A,Ciências Contábeis,Antiga
G409,Ética e Negócios,2,B,Ciências Contábeis,Antiga
G410,Contabilidade e Negócios,2,B,Ciências Contábeis,Antiga
G411,Cenário Econômicos e Empresariais,2,B,Ciências Contábeis,Antiga
G415,Sistema de Informações,3,A,Ciências Contábeis,Antiga
G413,Matemática Financeira,3,A,Ciências Contábeis,Antiga
G428,Contabilidade Geral Aplicada,3,A,Ciências Contábeis,Antiga
G412,Gestão Processos de Negócios,3,B,Ciências Contábeis,Antiga
G416,Custos e Formação de Preços,3,B,Ciências Contábeis,Antiga
G370,Contabilidade Intermediária,3,B,Ciências Contábeis,Antiga
G418,Análise Descritiva de Dados,4,A,Ciências Contábeis,Antiga
G448,Gestão de Projetos,4,A,Ciências Contábeis,Antiga
G420,Avaliação Financeira de Empresas e Projetos,4,A,Ciências Contábeis,Antiga
G445,Ciências de Dados Aplicado à Gestão,4,B,Ciências Contábeis,Antiga
G372,Legislação Fiscal Trabalhista e Previdenciária,4,B,Ciências Contábeis,Antiga
G373,Contabilidade Avançada,4,B,Ciências Contábeis,Antiga
G432,Análise Multivariada de Dados,5,A,Ciências Contábeis,Antiga
G430,Gestão Tributária,5,A,Ciências Contábeis,Antiga
G414,Estrutura e Análise de Demonstrações Contábeis,5,A,Ciências Contábeis,Antiga
G431,Big Data em Negócios,5,B,Ciências Contábeis,Antiga
G375,Finanças e Orçamento Público,5,B,Ciências Contábeis,Antiga
G376,Gestão de Tributos Federais,5,B,Ciências Contábeis,Antiga
G377,Sistemas Inteligentes de Apoio a Decisão,6,A,Ciências Contábeis,Antiga
G419,Estratégia Empresarial,6,A,Ciências Contábeis,Antiga
G378,Prática Contábil,6,A,Ciências Contábeis,Antiga
G379,Mentoria,6,B,Ciências Contábeis,Antiga
G380,Teoria da Contabilidade,6,B,Ciências Contábeis,Antiga
G381,Prática Tributária e Trabalhista,6,B,Ciências Contábeis,Antiga
G433,Ecossistemas de Governança,7,A,Ciências Contábeis,Antiga
G383,Auditoria,7,A,Ciências Contábeis,Antiga
G382,Contabilidade Aplicada ao Setor Público,7,A,Ciências Contábeis,Antiga
G434,Compliance e Gestão de Risco,7,B,Ciências Contábeis,Antiga
G402,Controladoria e Orçamento,7,B,Ciências Contábeis,Antiga
G417,Mercado de Capitais no Contexto Global,7,B,Ciências Contábeis,Antiga
G384,Experiência em Contabilidade,8,A,Ciências Contábeis,Antiga
G385,Tópicos Avançados em Contabilidade,8,A,Ciências Contábeis,Antiga
G386,Perícia Contábil,8,A,Ciências Contábeis,Antiga
G387,Experiência em Contabilidade Geral Aplicada,8,B,Ciências Contábeis,Antiga
G422,Valuation,8,B,Ciências Contábeis,Antiga
G388,Pesquisa em Contabilidade,8,B,Ciências Contábeis,Antiga
G400,Economia da Inovação,1,A,Administração,Antiga
G401,Negociação Estratégica,1,A,Administração,Antiga
G405,Inteligência de Negócios,1,A,Administração,Antiga
G403,Dinâmicas do Empreendedorismo,1,B,Administração,Antiga
G404,Direito Empresarial,1,B,Administração,Antiga
G427,Marketing Digital,1,B,Administração,Antiga
G406,Inovação e Negócios Criativos,2,A,Administração,Antiga
G407,Matemática para Empreendedores,2,A,Administração,Antiga
G408,Administração e Organizações,2,A,Administração,Antiga
G409,Ética e Negócios,2,B,Administração,Antiga
G410,Contabilidade e Negócios,2,B,Administração,Antiga
G411,Cenário Econômicos e Empresariais,2,B,Administração,Antiga
G415,Sistema de Informações,3,A,Administração,Antiga
G413,Matemática Financeira,3,A,Administração,Antiga
G429,Gestão de Operações,3,A,Administração,Antiga
G412,Gestão Processos de Negócios,3,B,Administração,Antiga
G416,Custos e Formação de Preços,3,B,Administração,Antiga
G440,Marketing Contemporâneo,3,B,Administração,Antiga
G418,Análise Descritiva de Dados,4,A,Administração,Antiga
G448,Gestão de Projetos,4,A,Administração,Antiga
G420,Avaliação Financeira de Empresas e Projetos,4,A,Administração,Antiga
G445,Ciências de Dados Aplicado à Gestão,4,B,Administração,Antiga
G438,Mercado e Consumidor,4,B,Administração,Antiga
G369,Gestão Estratégica de Pessoas,4,B,Administração,Antiga
G432,Análise Multivariada de Dados,5,A,Administração,Antiga
G430,Gestão Tributária,5,A,Administração,Antiga
G389,Finanças Corporativas e Risco,5,A,Administração,Antiga
G431,Big Data em Negócios,5,B,Administração,Antiga
G371,Supply Chain e Liderança Logística,5,B,Administração,Antiga
G451,Processos e Estruturas da Gestão de Pessoas,5,B,Administração,Antiga
G377,Sistemas Inteligentes de Apoio a Decisão,6,A,Administração,Antiga
G419,Estratégia Empresarial,6,A,Administração,Antiga
G449,Gestão de Vendas,6,A,Administração,Antiga
G379,Mentoria,6,B,Administração,Antiga
G446,Antropologia do Consumo e Neuromarketing,6,B,Administração,Antiga
G450,Pesquisa Operacional Aplicada a Gestão,6,B,Administração,Antiga
G433,Ecossistemas de Governança,7,A,Administração,Antiga
G390,Economia Estratégica,7,A,Administração,Antiga
G414,Estrutura e Análise de Demonstrações Contábeis,7,A,Administração,Antiga
G434,Compliance e Gestão de Risco,7,B,Administração,Antiga
G452,Liderança e Gestão,7,B,Administração,Antiga
G417,Mercado de Capitais no Contexto Global,7,B,Administração,Antiga
G453,Experiência em Gestão,8,A,Administração,Antiga
G454,Capitalismo Consciente,8,A,Administração,Antiga
G455,Simulação Empresarial em Ambiente Internacional,8,A,Administração,Antiga
G456,Experiência em Gestão Aplicada,8,B,Administração,Antiga
G422,Valuation,8,B,Administração,Antiga
G423,Gestão Capital de Giro,8,B,Administração,Antiga
N682,Fundamentos de Sistemas Computacionais,1,A,Inteligência Artificial,Nova
N680,Matemática para Computação,1,A,Inteligência Artificial,Nova
N683,Raciocínio Lógico e Algorítmico,1,B,Inteligência Artificial,Nova
N685,Programação Orientada a Objetos,1,B,Inteligência Artificial,Nova
G448,Gestão de Projetos,2,A,Inteligência Artificial,Nova
F052,Desafios do Ciberespaço,2,A,Inteligência Artificial,Nova
F054,Fundamento de Internet das Coisas,2,B,Inteligência Artificial,Nova
F055,Inovação em Soluções Computacionais,2,B,Inteligência Artificial,Nova
N692,Estrutura de Dados,3,A,Inteligência Artificial,Nova
F057,Estatísticas e Processamento de Dados,3,A,Inteligência Artificial,Nova
F059,Modelagem Matemática,3,A,Inteligência Artificial,Nova
N688,Ambiente de Dados,3,B,Inteligência Artificial,Nova
F090,Ideação para Soluções Computacionais,3,B,Inteligência Artificial,Nova
N682,Fundamentos de Sistemas Computacionais,1,A,Análise e desenvolvimento de sistemas,Nova
N680,Matemática para Computação,1,A,Análise e desenvolvimento de sistemas,Nova
N683,Raciocínio Lógico e Algorítmico,1,B,Análise e desenvolvimento de sistemas,Nova
N685,Programação Orientada a Objetos,1,B,Análise e desenvolvimento de sistemas,Nova
G448,Gestão de Projetos,2,A,Análise e desenvolvimento de sistemas,Nova
F052,Desafios do Ciberespaço,2,A,Análise e desenvolvimento de sistemas,Nova
N701,Gerenciamento de Serviços para Ciberespaço,2,B,Análise e desenvolvimento de sistemas,Nova
F055,Inovação em Soluções Computacionais,2,B,Análise e desenvolvimento de sistemas,Nova
N692,Estrutura de Dados,3,A,Análise e desenvolvimento de sistemas,Nova
N679,Interação Humano Computador,3,A,Análise e desenvolvimento de sistemas,Nova
